Validation_Set,Topics,Alpha,Beta,Coherence,Perplexity
75% Corpus,5,symmetric,0.9099999999999999,0.3462302182753132,-8.47637167647421
75% Corpus,5,symmetric,symmetric,0.30200589816335704,-8.492733348864455
75% Corpus,5,asymmetric,0.01,0.30472599199061506,-9.159015279994106
75% Corpus,5,asymmetric,0.31,0.30246270551659127,-8.502916402503853
75% Corpus,5,asymmetric,0.61,0.31184375255702257,-8.530490514936298
75% Corpus,5,asymmetric,0.9099999999999999,0.34905308256537204,-8.572519930853556
75% Corpus,5,asymmetric,symmetric,0.3076597599287044,-8.497310990500752
75% Corpus,6,0.01,0.01,0.30773806404586584,-9.152729121467946
75% Corpus,6,0.01,0.31,0.33610309387647685,-8.492097137968035
75% Corpus,6,0.01,0.61,0.34406450928311433,-8.514956606043892
75% Corpus,6,0.01,0.9099999999999999,0.3491540686689403,-8.524276468473255
75% Corpus,6,0.01,symmetric,0.3030488997607577,-8.490839370884961
75% Corpus,6,0.31,0.01,0.3099351950196911,-9.209750676028717
75% Corpus,6,0.31,0.31,0.34549095578530803,-8.530596743340528
75% Corpus,6,0.31,0.61,0.3550269778335784,-8.54828707310821
75% Corpus,6,0.31,0.9099999999999999,0.3394554804922596,-8.55079875811536
75% Corpus,6,0.31,symmetric,0.3038164811407278,-8.535757686980538
75% Corpus,6,0.61,0.01,0.3119199800082037,-9.257079134198657
75% Corpus,6,0.61,0.31,0.3364385155476155,-8.554063444419159
75% Corpus,6,0.61,0.61,0.34885649096508414,-8.57148770433021
75% Corpus,6,0.61,0.9099999999999999,0.3264077597016568,-8.573545926068551
75% Corpus,6,0.61,symmetric,0.3035955477976484,-8.56234992428298
75% Corpus,6,0.9099999999999999,0.01,0.31266812923941256,-9.28791378440346
75% Corpus,6,0.9099999999999999,0.31,0.3403115528808914,-8.571286072866732
75% Corpus,6,0.9099999999999999,0.61,0.3626579736944355,-8.591178772298502
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.34029015256504436,-8.599275976218399
75% Corpus,6,0.9099999999999999,symmetric,0.30042683774931145,-8.578184511369587
75% Corpus,6,symmetric,0.01,0.30876829256488236,-9.183167864136445
75% Corpus,6,symmetric,0.31,0.33743790719130473,-8.514507091015663
75% Corpus,6,symmetric,0.61,0.36079357362048387,-8.534969823344147
75% Corpus,6,symmetric,0.9099999999999999,0.33091722431269033,-8.53520074334784
75% Corpus,6,symmetric,symmetric,0.30286786105311575,-8.515962355909897
75% Corpus,6,asymmetric,0.01,0.30496016802182896,-9.189541192093136
75% Corpus,6,asymmetric,0.31,0.30355297057957137,-8.523640167362405
75% Corpus,6,asymmetric,0.61,0.35133554954261675,-8.565787133128788
75% Corpus,6,asymmetric,0.9099999999999999,0.3425544565091731,-8.608693134583701
75% Corpus,6,asymmetric,symmetric,0.3078075725596666,-8.521962461213203
75% Corpus,7,0.01,0.01,0.30145954763839244,-9.175315022048517
75% Corpus,7,0.01,0.31,0.33079032677420034,-8.511562351879679
75% Corpus,7,0.01,0.61,0.3675361079993969,-8.514486819919133
75% Corpus,7,0.01,0.9099999999999999,0.37546892561035616,-8.516970095565158
75% Corpus,7,0.01,symmetric,0.3135021157969064,-8.512410063974526
75% Corpus,7,0.31,0.01,0.298053698328488,-9.247401782088115
75% Corpus,7,0.31,0.31,0.32506019618373,-8.55501009307314
75% Corpus,7,0.31,0.61,0.34892131979287455,-8.549189398101813
75% Corpus,7,0.31,0.9099999999999999,0.36944283658918925,-8.56186262696812
75% Corpus,7,0.31,symmetric,0.3046792136207995,-8.559528732641297
75% Corpus,7,0.61,0.01,0.293153850190242,-9.299694040562901
75% Corpus,7,0.61,0.31,0.3213646387373482,-8.58082102903406
75% Corpus,7,0.61,0.61,0.3589743242740738,-8.577659500515074
75% Corpus,7,0.61,0.9099999999999999,0.3535851499978769,-8.594566491672756
75% Corpus,7,0.61,symmetric,0.3060100990006787,-8.589682496152466
75% Corpus,7,0.9099999999999999,0.01,0.2917402023091805,-9.33527297036889
75% Corpus,7,0.9099999999999999,0.31,0.3312220590464445,-8.601378525668906
75% Corpus,7,0.9099999999999999,0.61,0.341191627286445,-8.599993460725445
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.35645601604659444,-8.61970214586124
75% Corpus,7,0.9099999999999999,symmetric,0.3083531819473583,-8.609913103115014
75% Corpus,7,symmetric,0.01,0.29950978739169803,-9.209011789581895
75% Corpus,7,symmetric,0.31,0.3286697340092362,-8.532784271240017
75% Corpus,7,symmetric,0.61,0.3472435154756366,-8.528870355760935
75% Corpus,7,symmetric,0.9099999999999999,0.377787099589933,-8.537164795652185
75% Corpus,7,symmetric,symmetric,0.3107246646979286,-8.535819236573985
75% Corpus,7,asymmetric,0.01,0.301577836500228,-9.216094139642392
75% Corpus,7,asymmetric,0.31,0.30350478918876317,-8.540222506438386
75% Corpus,7,asymmetric,0.61,0.35508460845783757,-8.57274154288615
75% Corpus,7,asymmetric,0.9099999999999999,0.35572446859889467,-8.504174153732912
75% Corpus,7,asymmetric,symmetric,0.3015071127350118,-8.538209314103469
75% Corpus,8,0.01,0.01,0.29854343246391524,-9.197038645486048
75% Corpus,8,0.01,0.31,0.31795340902137936,-8.528066578807145
75% Corpus,8,0.01,0.61,0.3434151973751849,-8.5292912542723
75% Corpus,8,0.01,0.9099999999999999,0.3513531383713402,-8.501286863875688
75% Corpus,8,0.01,symmetric,0.3112308249376861,-8.528261224937195
75% Corpus,8,0.31,0.01,0.30577934437119886,-9.281943763883486
75% Corpus,8,0.31,0.31,0.3243876533292769,-8.576073130782957
75% Corpus,8,0.31,0.61,0.33031002041510293,-8.570406581017934
75% Corpus,8,0.31,0.9099999999999999,0.33086888059082503,-8.542420467056722
75% Corpus,8,0.31,symmetric,0.31155621281579265,-8.586179520330685
75% Corpus,8,0.61,0.01,0.29998946801443227,-9.343974084439173
75% Corpus,8,0.61,0.31,0.3379362912649499,-8.608359142480879
75% Corpus,8,0.61,0.61,0.33366050516094786,-8.601053609523113
75% Corpus,8,0.61,0.9099999999999999,0.33221434808131445,-8.586219013687991
75% Corpus,8,0.61,symmetric,0.32864082228046804,-8.618845832568983
75% Corpus,8,0.9099999999999999,0.01,0.2991157424550541,-9.38738463190821
75% Corpus,8,0.9099999999999999,0.31,0.31990459606151767,-8.631629524688734
75% Corpus,8,0.9099999999999999,0.61,0.32487659020622717,-8.630820213685277
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.31674147781088424,-8.61589562399157
